date,station_id,precip_mm,mflag,qflag,sflag,excluded
1991-01-08,USC00419717,11.4,,,0,False
1991-01-08,USW00012924,2.5,,,0,False
1991-01-08,USW00012926,3.0,,,X,False
1991-01-08,USW00012928,7.9,,,X,False
1991-01-09,USC00410639,8.9,,,0,False
1991-01-09,USC00410690,,P,,0,True
1991-01-09,USC00411337,11.7,,,0,False
1991-01-09,USC00411720,8.1,,,0,False
1991-01-09,USC00413063,5.1,,,0,False
1991-01-09,USC00413341,6.4,,,0,False
1991-01-09,USC00413508,12.7,,,0,False
1991-01-09,USC00414810,,P,,0,True
1991-01-09,USC00415661,5.8,,,0,False
1991-01-09,USC00417677,8.9,,,0,False
1991-01-09,USC00417704,17.8,,,0,False
1991-01-09,USC00418081,3.6,,,0,False
1991-01-09,USC00419007,6.1,,,0,False
1991-01-09,USC00419559,9.1,,,0,False
1991-01-09,USC00419717,20.3,,,0,False
1991-01-09,USW00012924,6.6,,,0,False
1991-01-09,USW00012926,10.2,,,X,False
1991-01-09,USW00012928,2.8,,,X,False
1991-01-10,USC00410639,14.5,,,0,False
1991-01-10,USC00410690,10.2,,,0,False
1991-01-10,USC00411337,6.1,,,0,False
1991-01-10,USC00411720,3.0,,,0,False
1991-01-10,USC00413063,0.5,,,0,False
1991-01-10,USC00413341,,P,,0,True
1991-01-10,USC00413508,3.0,,,0,False
1991-01-10,USC00414810,,P,,0,True
1991-01-10,USC00415661,1.8,,,0,False
1991-01-10,USC00417677,8.1,,,0,False
1991-01-10,USC00417704,6.1,,,0,False
1991-01-10,USC00418081,2.8,,,0,False
1991-01-10,USC00419007,0.0,,,0,False
1991-01-10,USC00419559,,P,,0,True
1991-01-10,USC00419717,1.0,,,0,False
1991-01-10,USW00012924,2.0,,,0,False
1991-01-10,USW00012926,0.5,,,X,False
1991-01-10,USW00012928,0.0,T,,X,False
1991-01-11,USC00410639,0.8,,,0,False
1991-01-11,USC00410690,,P,,0,True
1991-01-11,USC00411337,,P,,0,True
1991-01-11,USC00411720,0.3,,,0,False
1991-01-11,USC00413063,0.0,,,0,False
1991-01-11,USC00413341,,P,,0,True
1991-01-11,USC00413508,,P,,0,True
1991-01-11,USC00414810,,P,,0,True
1991-01-11,USC00415661,,P,,0,True
1991-01-11,USC00417677,,P,,0,True
1991-01-11,USC00417704,0.0,,,0,False
1991-01-11,USC00418081,,P,,0,True
1991-01-11,USC00419007,0.0,,,0,False
1991-01-11,USC00419559,,,,,True
1991-01-11,USC00419717,0.0,,,0,False
1991-01-11,USW00012924,0.0,,,0,False
1991-01-11,USW00012926,0.0,,,X,False
1991-01-11,USW00012928,0.0,,,X,False
1991-01-12,USC00410639,,P,,0,True
